Empirical Data_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base year prices for selected items,,,,,,,,,,,,,,,,,,,Current year prices for same items,,,,,,,,,,,,,,,,,,
B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19
2.65,1.52,13.46,1.31,4.75,3.01,0.08,0.18,0.7,1.03,0.21,1.46,199.88,1.28,1.3,0.97,1.28,3.57,1.38,17.9,2.8,147.8,1.3,20.3,5.1,1.6,1.6,0.8,2.6,2.6,3.6,556.1,2.6,3.4,4.83,3.4,11.5,2.2
2.65,1.52,13.46,1.31,4.75,3.01,0.08,0.3,0.7,1.03,0.21,1.46,169.88,1.47,1.3,0.97,1.28,3.77,1.38,17.9,2.8,147.8,1.3,20.3,5.1,1.6,1.6,0.8,2.6,2.6,3.6,556.1,2.6,3.4,4.83,3.4,11.5,2.2
2.35,1.52,13.46,1.31,4.75,3.01,0.08,0.3,0.7,1.03,0.21,1.46,199.88,1.47,1.3,0.97,1.28,3.77,1.38,18.2,2.8,147.8,1.3,21.3,5.1,1.6,1.6,0.8,2.6,2.6,3.6,556.1,2.6,3.4,4.83,3.4,11.9,2.2
2.65,1.52,13.46,1.5,4.75,3.01,0.08,0.3,0.7,1.03,0.21,1.46,210,1.47,1.42,0.97,1.38,3.77,1.6,18.2,2.8,147.8,1.3,20.3,5.1,1.6,1.6,0.8,2.6,2.6,3.6,556.1,2.6,3.4,4.83,3.4,11.5,2.2
2.65,1.52,13.46,1.5,4.75,3.01,0.08,0.18,0.7,1.03,0.21,1.46,199.88,1.47,1.42,0.97,1.38,3.77,1.6,17.9,2.8,147.8,1.3,20.3,5.1,1.6,1.6,0.8,2.6,2.6,3.7,556.1,2.6,3.4,4.83,3.4,11.5,2.2
2.35,1.52,13.46,1.5,4.75,3.11,0.08,0.18,0.7,1.03,0.21,1.46,210,1.47,1.42,0.97,1.38,3.77,1.6,18.5,2.8,147.9,1.3,21.4,5.1,1.6,1.6,0.8,2.6,2.6,4.7,556.1,2.6,3.4,4.83,3.4,12.5,2.2
2.65,1.52,13.46,1.5,4.75,3.11,0.08,0.18,0.7,1.03,0.21,1.46,199.88,1.47,1.42,0.97,1.38,3.77,1.6,18.5,2.8,147.9,1.3,21.4,5.1,1.6,1.6,0.8,2.6,2.6,4.7,556.1,2.6,3.4,4.83,3.4,12.5,2.2
2.03,1.7,11.68,1.7,4.12,1.5,0.08,0.48,0.3,1.13,0.31,1.2,169.88,1.21,1.13,0.97,1.08,4.01,1.28,17.8,4.05,147.8,1.3,24.3,10.4,3.1,1.86,1.5,2.5,0.7,3.24,533.5,2.7,11.9,3.34,3.1,28.89,1.7
1.58,1.7,11.68,1.7,4.12,1.5,0.08,0.48,0.27,1.13,0.31,1.2,169.88,1.21,1.13,0.97,1.08,4.01,1.28,17.8,4.05,147.8,1.3,24.3,10.4,3.1,1.86,1.5,2.5,0.7,3.24,533.5,2.7,11.9,3.42,3.1,28.89,1.7
1.8,1.7,11.68,1.7,4.28,1.5,0.08,0.48,0.5,1.13,0.31,1.2,169.88,1.21,1.3,0.97,1.08,4.14,1.28,17.8,4.05,147.8,1.3,24.3,10.4,3.1,1.86,1.5,2.5,0.7,3.24,533.5,2.7,11.9,3.17,3.1,28.89,1.7
